ARG	ID	RESULTNAME		EINHEIT	LABEL	DATENTYP	NAME	INFO
IUK87	0x4609	STAT_KL87_SPANNUNG_WERT	Terminal 87 Voltage / Supply DME	V	VB	unsigned char	-	Kl.87 Spannung / Versorgung DME
IUBAT	0x460A	STAT_UBATT_WERT	Battery voltage	V	UBT	unsigned integer	-	Batteriespannung aktuell
IUIBS	0x460B	STAT_UBATT_IBS_WERT	Battery voltage (IBS)	-	U_BATT	unsigned integer	-	Batteriespannung von IBS gemessen
IUADW	0x460C	STAT_UBATT_AD_WANDLER_WERT	Battery voltage from the AD converter DME	V	VB_BAS	unsigned integer	-	Batteriespannung vom AD-Wandler DME
-	0x460D	STAT_0x460D_WERT		-	ABSCH_KORR	signed integer	-	Korrekturwert Abschaltung
-	0x460E	STAT_0x460E_WERT		-	D_SOC	signed integer	-	Abstand zur Startfähigkeitsgrenze
ILBAT	0x460F	STAT_BATTERIELAST_WERT	Battery load	%	LOAD_BAT	unsigned char	-	Batterielast
IPDIS	0x4610	STAT_DISAKLAPPEN_POSITION_WERT	Current position of the DISA flaps	%	VIM_AV	unsigned integer	-	aktuelle Position Disaklappen
STELU	0x4611	STAT_E_LUEFTER_PWM_SOLL_WERT	Target value of electric fan as PWM value	%	N_PERC_ECF	unsigned char	-	Sollwert E-Lüfter als PWM Wert
-	0x4612	STAT_0x4612_WERT		A	IERR	unsigned char	-	Erregerstrom Generator 1
-	0x4613	STAT_0x4613_WERT		V	U_FGEN	unsigned integer	-	Kopierter Wert von zum Generator gesendeter Sollspannung Generator 1
-	0x4614	STAT_0x4614_WERT		%	DFSIGGEN	unsigned char	-	Auslastungsgrad Generator 1
-	0x4615	STAT_0x4615_WERT		A	IERRFGRENZ	unsigned char	-	Kopie begrenzter Erregerstrom Generator 1
-	0x4616	STAT_0x4616_WERT		s	TLRFGEN	unsigned char	-	Kopie Generator 1 LR Vorgabe auf Bus gelegt
-	0x4617	STAT_0x4617_WERT		Nm	MD_GENNM	signed integer	-	gefiltertes Generatormoment absolut Ausgang
-	0x4618	STAT_0x4618_WERT		0/1	B_LRFOFF	unsigned char	-	Kopie Drehzahlschwelle für LR-Funktion Generator 1 aktiv
ISBV1	0x4700	STAT_SONDENBEREITSCHAFT_VORKAT_BANK1	Condition: Probe must be operational before catalytic converter	0/1	LV_INH_LSCL[1]	unsigned char	-	Status Lambdasonde betriebsbereit Vorkat Bank 1
ISBV2	0x4701	STAT_SONDENBEREITSCHAFT_VORKAT_BANK2	Lambda sensor status: operational before cat. Bank 2	0/1	LV_INH_LSCL[2]	unsigned char	-	Status Lambdasonde betriebsbereit Vorkat Bank 2
IUSO1	0x4702	STAT_SONDENSPANNUNG_VORKAT_BANK1_MIT_OFFSET_WERT	Voltage lambda sensor before cat. Bank 1 with offset correction	V	VLS_COR_LSL[1]	unsigned integer	-	Spannung Lambdasonde Vorkat Bank 1 mit Offsetkorrektur
IUSO2	0x4703	STAT_SONDENSPANNUNG_VORKAT_BANK2_MIT_OFFSET_WERT	Voltage lambda sensor before cat. Bank 2 with offset correction	V	VLS_COR_LSL[2]	unsigned integer	-	Spannung Lambdasonde Vorkat Bank 2 mit Offsetkorrektur
SINT1	0x4704	STAT_LAMBDA_BANK1_SOLL_WERT	Lambda target bank1	-	LAMB_BAS[0]	unsigned integer	-	Lambda Sollwert Bank 1
SINT2	0x4705	STAT_LAMBDA_BANK2_SOLL_WERT	Lambda target bank2	-	LAMB_BAS[1]	unsigned integer	-	Lambda Sollwert Bank 2
ISKUB	0x4800	STAT_KUPPLUNGSSCHALTER_BETAETIGT_WERT	Clutch switch status	0/1	LV_CS	unsigned char	-	Kupplungsschalter Status
ISKUV	0x4801	STAT_KUPPLUNGSSCHALTER_VORHANDEN_WERT	Clutch switch present	0/1	LV_CS_CUS	unsigned char	-	Kupplungsschalter vorhanden
ISSPO	0x4802	STAT_SPORTTASTER_BETAETIGT_WERT	Sport button activated	0/1	LV_SOF_SWI	unsigned char	-	Sporttaster aktiv
ISKLI	0x4803	STAT_KLIMA_EIN	Condition for switching on the compressor	-	STATE_ACIN_CAN	unsigned char	-	Status Klima ein
ISSLP	0x4804	STAT_SEKUNDAERLUFTPUMPE_WERT	Secondary air pump active	0/1	LV_SAP	unsigned char	-	Sekundärluft Pumpe aktiv
ISSRC	0x4805	STAT_STARTRELAIS_UEBER_CAN_WERT	Switch terminal 50 of CAN	0/1	LV_RLY_ST_CAN	unsigned char	-	Startrelais über CAN aktiv
-	0x4806	STAT_0x4806_WERT		°C	TECU	unsigned char	-	Steuergeraete-Innentemperatur
INMOT	0x4807	STAT_MOTORDREHZAHL_WERT	RPM	rpm	N	unsigned integer	-	Motor Drehzahl
SNLLD	0x4808	STAT_LEERLAUFDREHZAHL_SOLL_WERT	Idle target RPM	rpm	N_SP_IS	unsigned integer	-	Leerlauf Solldrehzahl
ISLLA	0x4809	STAT_LEERLAUF_AKTIV	Idle speed control condition	0/1	LV_IS	unsigned char	-	Status LL
ISKME	0x480A	STAT_KILOMETERSTAND_WERT		km	CTR_KM_BN	unsigned long	-	Kilometerstand Auflösung 1 km
IFPWG	0x480B	STAT_FAHRERWUNSCH_PEDAL_WERT	Pedal value	%	PV_AV	unsigned char	-	Pedalwert Fahrerwunsch in %
-	0x5800	STAT_0x5800_WERT		s	OBD_T_AST	unsigned char	-	Zeit nach Start
-	0x5801	STAT_0x5801_WERT		kPa	OBD_AMP	unsigned char	-	Umgebungsdruck
ICLR1	0x5802	STAT_LAMBDAREGELUNG_ZUSTAND_BANK1_WERT	Lambda control status, bank 1	0-n	STATE_LS[1]	unsigned char	_CNV_S_5_LACO_RANGE_766	Zustand Lambdaregelung Bank 1
ICLR2	0x5803	STAT_LAMBDAREGELUNG_ZUSTAND_BANK2_WERT	Lambda control status, bank 2	0-n	STATE_LS[2]	unsigned char	_CNV_S_5_LACO_RANGE_766	Zustand Lambdaregelung Bank 2
SLAST	0x5804	STAT_LASTWERT_BERECHNET_WERT	Calculated load value	%	LOAD_CLC	unsigned char	-	Berechneter Lastwert
-	0x5805	STAT_0x5805_WERT		°C	OBD_TCO	unsigned char	-	Kühlmitteltemperatur OBD
ILIN1	0x5806	STAT_LAMBDA_INTEGRATOR_GRUPPE1_WERT	Lambda Integrator Group 1	%	OBD_LAM_COR[1]	unsigned char	-	Lambda Integrator Gruppe 1
ILAM1	0x5807	STAT_LAMBDA_ADAPTION_MULTIPLIKATIV_GRUPPE1_WERT	Lambda Adaptation Sum of multiplicative and additive group 1	%	OBD_LAM_AD[1]	unsigned char	-	Lambda Adaption Summe mul. & add. Gruppe 1
ILIN2	0x5808	STAT_LAMBDA_INTEGRATOR_GRUPPE2_WERT	Lambda Integrator Group 2	%	OBD_LAM_COR[2]	unsigned char	-	Lambda Integrator Gruppe 2
ILAM2	0x5809	STAT_LAMBDA_ADAPTION_MULTIPLIKATIV_GRUPPE2_WERT	Lambda Adaptation Sum of multiplicative and additive group 2	%	OBD_LAM_AD[2]	unsigned char	-	Lambda Adaption Summe mul. & add. Gruppe 2
IPKRS	0x580A	STAT_KRAFTSTOFFDRUCK_WERT	Range from 0 [bar] to 10 [bar]	kPa	OBD_FUP	unsigned char	-	Kraftstoffdruck
IPSA2	0x580B	STAT_SAUGROHRDRUCK_2_WERT	Intake manifold pressure	kPa	OBD_MAP	unsigned char	-	Saugrohrdruck
INAUF	0x580C	STAT_N_AUFLOESUNG_WERT	RPM	rpm	OBD_N	unsigned char	-	Drehzahl
IVKM2	0x580D	STAT_GESCHWINDIGKEIT_2_WERT	Speed	km/h	VS	unsigned char	-	Geschwindigkeit
IZZY1	0x580E	STAT_ZUENDZEITPUNKT_ZYL1_WERT	Ignition angle Cyl1	°CRK	OBD_IGA_IGC	unsigned char	-	Zündzeitpunkt Zylinder 1
ITANL	0x580F	STAT_ANSAUGLUFTTEMPERATUR_LAW_WERT	Intake air temperature	°C	OBD_TIA	unsigned char	-	Ansauglufttemperatur
ILMGS	0x5810	STAT_LUFTMASSE_GRAMM_PRO_SEKUNDE_WERT	Relative air mass (calc. load value) according to SAE J1979	g/s	OBD_MAF	unsigned char	-	Luftdurchsatz OBD
INM32	0x5811	STAT_MOTORDREHZAHL_N32_WERT	Engine RPM	rpm	N_32	unsigned char	-	Motordrehzahl
-	0x5812	STAT_0x5812_WERT		kg/h	MAF_KGH_MES_BAS	unsigned char	-	Luftmasse gemessen
ILREL	0x5813	STAT_LASTWERT_RELATIV_WERT	Relative Filling	%	RF	signed char	-	Relative Last
-	0x5814	STAT_0x5814_WERT		%	PV_AV_RAW	unsigned char	-	Fahrpedalwert
-	0x5815	STAT_0x5815_WERT		V	OBD_VB	unsigned char	-	Batteriespannung
-	0x5816	STAT_0x5816_WERT		-	OBD_LAMB_SP	unsigned char	-	Lambda Setpoint
-	0x5817	STAT_0x5817_WERT		°C	OBD_TAM	unsigned char	-	Umgebungstemperatur
ILMMG	0x5818	STAT_LUFTMASSE_PRO_HUB_WERT	Air mass per cylinder	mg/stk	MAF	unsigned char	-	Luftmasse gerechnet
-	0x5819	STAT_0x5819_WERT		rpm	N_SAE_BYTE_KWP	unsigned char	-	Drehzahl OBD Byte
-	0x581A	STAT_0x581A_WERT		°CRK	CAM_IN_KWP	unsigned char	-	Nockenwelle Einlass
-	0x581B	STAT_0x581B_WERT		°CRK	CAM_SP_IVVT_IN_KWP	unsigned char	-	Nockenwelle Einlass Sollwert
-	0x581C	STAT_0x581C_WERT		°CRK	CAM_EX[1]	unsigned char	-	Nockenwelle Auslass
-	0x581D	STAT_0x581D_WERT		°CRK	CAM_SP_IVVT_EX	unsigned char	-	Nockenwelle Auslass Sollwert
-	0x581E	STAT_0x581E_WERT		°C	TIA_MES	unsigned char	-	Ansauglufttemperatur
-	0x581F	STAT_0x581F_WERT		°C	TCO_MES	unsigned char	-	Motortemperatur
-	0x5820	STAT_0x5820_WERT		°C	TCO_2_MES	unsigned char	-	Kühlmitteltemperatur Kühlerausgang
-	0x5821	STAT_0x5821_WERT		°C	TECU	unsigned char	-	Steuergerät Innentemperatur
-	0x5822	STAT_0x5822_WERT		°C	TOIL_MES	unsigned char	-	( Motor ) - Öltemperatur
IZMOS	0x5823	STAT_ZEIT_MOTOR_STEHT_WERT	Parking time	min	T_ES	unsigned char	-	Zeit Motor steht
-	0x5824	STAT_0x5824_WERT		°C	TAM	unsigned char	-	Umgebungstemperatur
-	0x5825	STAT_0x5825_WERT		min	T_ES_CUS_KWP	unsigned char	-	Abstellzeit
IDKS1	0x5826	STAT_DROSSELKLAPPE_SENSOR1_WERT	Throttle sensor 1	°TPS	TPS_AV_1	unsigned char	-	Drosselklappe Sensor 1
-	0x5827	STAT_0x5827_WERT		%	LSHPWM_UP[1]	unsigned char	-	Lambdasonden Heizung Vorkat 1
-	0x5828	STAT_0x5828_WERT		%	LSHPWM_UP[2]	unsigned char	-	Lambdasonden Heizung Vorkat 2
-	0x5829	STAT_0x5829_WERT		%	LSHPWM_DOWN[1]	unsigned char	-	Lambdasonden Heizung Hinterkat 1
-	0x582A	STAT_0x582A_WERT		%	LSHPWM_DOWN[2]	unsigned char	-	Lambdasonden Heizung Hinterkat 2
IDRCA	0x582B	STAT_DREHMOMENTEINGRIFF_CAN_WERT	Torque intervention via CAN	-	STATE_TQ_CAN_PLAUS	unsigned char	-	Drehmomenteingriff über CAN
-	0x582C	STAT_0x582C_WERT		-	CTR_ERR_LSL_IF_SPI_WR[1]	unsigned char	-	Anzahl ungültiger Schreibüberprüfungszyklen am SPI-Interface der Lambdasonde vor Kat Bank 1
-	0x582D	STAT_0x582D_WERT		-	CTR_ERR_LSL_IF_SPI_WR[2]	unsigned char	-	Anzahl ungültiger Schreibüberprüfungszyklen am SPI-Interface der Lambdasonde vor Kat Bank 2
-	0x582E	STAT_0x582E_WERT		-	FAC_DIAG_DYN_LSL_UP[1]	unsigned char	-	Adaptionsfaktor Sensor Zeitkonstante vor Kat Bank 1
-	0x582F	STAT_0x582F_WERT		-	FAC_DIAG_DYN_LSL_UP[2]	unsigned char	-	Adaptionsfaktor Sensor Zeitkonstante vor Kat Bank 2
-	0x5830	STAT_0x5830_WERT		-	FAC_MV_DIAG_DYN_LSL_UP[1]	unsigned char	-	Mittelwert der normierten Signalamplitude der Lambdasonde vor Kat Bank 1
-	0x5831	STAT_0x5831_WERT		-	FAC_MV_DIAG_DYN_LSL_UP[2]	unsigned char	-	Mittelwert der normierten Signalamplitude der Lambdasonde vor Kat Bank 2
IMOST	0x5832	STAT_MOTOR_STATUS_WERT	Engine Coordinator Condition	0-n	STATE_ENG	unsigned char	_CNV_S_6_RANGE_STAT_147	Motor Status
-	0x5833	STAT_0x5833_WERT		°C	TAM_ST	unsigned char	-	Umgebungstemperatur beim Start
-	0x5834	STAT_0x5834_WERT		hPa	AMP_MES	unsigned char	-	Umgebungsdruck
INGRD	0x5836	STAT_DREHZAHLGRADIENT_WERT	Speed gradient	rpm/s	N_GRD	signed char	-	Drehzahlgradient
-	0x5837	STAT_0x5837_WERT		0-n	STATE_ERR_EL_LSL_UP[1]	unsigned char	_CNV_S_11_EGCP_RANGE_729	Status OBD-I Fehler vor Kat Bank 1
-	0x5838	STAT_0x5838_WERT		0-n	STATE_ERR_EL_LSL_UP[2]	unsigned char	_CNV_S_11_EGCP_RANGE_729	Status OBD-I Fehler vor Kat Bank 2
ISDKN	0x5839	STAT_DROSSELKLAPPE_NOTLAUF_WERT	Throttle valve status: Emergency mode	0-n	STATE_ETC_LIH	unsigned char	_CNV_S_6_RANGE_STAT_305	Status Drosselklappe Notlauf
-	0x583A	STAT_0x583A_WERT		°C	TIA_ST	unsigned char	-	Ansauglufttemperatur beim Start
IKTFS	0x583B	STAT_KRAFTSTOFFTANK_FUELLSTAND_WERT	Tank filling status	l	FTL	unsigned char	-	Kraftstofftank Füllstand
-	0x583C	STAT_0x583C_WERT		V	VB	unsigned char	-	Spannung Kl. 87
-	0x583D	STAT_0x583D_WERT		-	RST_DET	unsigned char	-	Reset: Quelle
-	0x583E	STAT_0x583E_WERT		rpm	N_RST_DET	unsigned char	-	Motordrehzahl bei Reset
-	0x583F	STAT_0x583F_WERT		°TPS	TPS_SP	unsigned char	-	Drosselklappe Sollwert
-	0x5840	STAT_0x5840_WERT		%	CPU_LOAD_RST_DET	unsigned char	-	CPU Last bei Reset
RTSGR	0x5841	STAT_STEUERGERAETE_INNENTEMPERATUR_ROH_WERT	Control unit temperature raw value	V	V_TECU_KWP	unsigned char	-	SG-Innentemperatur Rohwert
-	0x5843	STAT_0x5843_WERT		V	VCC_PVS_1_KWP	unsigned char	-	Versorgung FWG 1
-	0x5845	STAT_0x5845_WERT		V	VLS_UP_KWP[1]	unsigned char	-	Spannung Lambdasonde VorKat 1
-	0x5846	STAT_0x5846_WERT		V	V_PVS_1_KWP	unsigned char	-	Spannung Pedalwertgeber 1
-	0x5847	STAT_0x5847_WERT		V	V_PVS_2_KWP	unsigned char	-	Spannung Pedalwertgeber 2
-	0x5848	STAT_0x5848_WERT		V	VLS_UP_KWP[2]	unsigned char	-	Spannung Lambdasonde VorKat 2
-	0x5849	STAT_0x5849_WERT		V	VLS_DOWN_KWP[1]	unsigned char	-	Spannung Lambdasonde HinterKat 1
RUK15	0x584A	STAT_KL15_SPANNUNG_ROH_WERT	Voltage Class 15 Raw Value	V	V_IGK_BAS_KWP	unsigned char	-	Spannung Kl. 15 Rohwert
-	0x584B	STAT_0x584B_WERT		V	VLS_DOWN_KWP[2]	unsigned char	-	Spannung Lambdasonde HinterKat 2
-	0x584C	STAT_0x584C_WERT		V	V_TPS_2_KWP	unsigned char	-	Spannung Drosselklappe Poti 2
SQTEK	0x584D	STAT_TANKENTLUEFTUNG_DURCHFLUSS_SOLL_WERT	Tank ventilation air flow target in intake manifold	kg/h	FLOW_COR_CPS	unsigned char	-	korrigierter Sollwert Durchfluss Tankentlüftung
-	0x584E	STAT_0x584E_WERT		V	V_TPS_1_KWP	unsigned char	-	Spannung Drosselklappe Poti 1
-	0x584F	STAT_0x584F_WERT		V	V_MAF	unsigned char	-	Spannung Luftmasse
-	0x5850	STAT_0x5850_WERT		V	V_TCO_KWP	unsigned char	-	Spannung Motortemperatur
-	0x5851	STAT_0x5851_WERT		-	V_TIA	unsigned char	-	Spannung Ansauglufttemperatur
-	0x5852	STAT_0x5852_WERT		V	V_TCO_2_KWP	unsigned char	-	Kühlmitteltemperatur Kühlerausgang Rohwert
-	0x5853	STAT_0x5853_WERT		V	VB_BAS_KWP	unsigned char	-	Spannung Kl.87 Rohwert
-	0x5854	STAT_0x5854_WERT		V	VCC_PVS_2_KWP	unsigned char	-	Versorgung FWG 2
-	0x5855	STAT_0x5855_WERT		%	FAC_LAM_MV_MMV[1]	signed char	-	Mittelwert Bank 1
-	0x5856	STAT_0x5856_WERT		%	FAC_LAM_MV_MMV[2]	signed char	-	Mittelwert Bank 2
-	0x5858	STAT_0x5858_WERT		°TPS	TPS_AV	unsigned char	-	Drosselklappe aktueller Wert
-	0x5859	STAT_0x5859_WERT		mA	CUR_DMTL_REF_LEAK_KWP	unsigned char	-	DMTL Strom Referenzleck
-	0x585A	STAT_0x585A_WERT		mA	CUR_DMTL_ROUGH_LEAK_MIN_KWP	unsigned char	-	DMTL Strom Grobleck
-	0x585B	STAT_0x585B_WERT		mA	CUR_DMTL_COR_FIL_KWP	unsigned char	-	DMTL Strom Diagnoseende
-	0x585C	STAT_0x585C_WERT		ohm	R_IT_LS_DOWN_KWP_H[1]	unsigned char	-	Widerstand Lambdasonde NK 1
IRLN2	0x585D	STAT_LAMBDASONDE_WIDERSTAND_NACHKAT2_WERT	Lambda sensor resistance downstream of catalytic converter, bank 2	ohm	R_IT_LS_DOWN_KWP_H[2]	unsigned char	-	Widerstand Lambdasonde NK 2
IRUN1	0x585E	STAT_LAMBDASONDE_WIDERSTAND_NACHKAT1_UNTERES_BYTE_WERT	Lower byte resistance lambda sensor downstream of catalytic converter bank 1	ohm	R_IT_LS_DOWN_KWP_L[1]	unsigned char	-	unteres Byte Widerstand Lambdasonde NK 1
IRUN2	0x585F	STAT_LAMBDASONDE_WIDERSTAND_NACHKAT2_UNTERES_BYTE_WERT	Lower byte resistance lambda sensor downstream of catalytic converter, bank 2	ohm	R_IT_LS_DOWN_KWP_L[2]	unsigned char	-	unteres Byte Widerstand Lambdasonde NK 2
IRLV1	0x5860	STAT_LAMBDASONDE_WIDERSTAND_VORKAT1_WERT	Lambda sensor resistance before catalytic converter, Bank 1	ohm	R_IT_LS_UP_KWP_H[1]	unsigned char	-	Widerstand Lambdasonde VK 1
IRLV2	0x5861	STAT_LAMBDASONDE_WIDERSTAND_VORKAT2_WERT	Lambda sensor resistance before catalytic converter, Bank 2	ohm	R_IT_LS_UP_KWP_H[2]	unsigned char	-	Widerstand Lambdasonde VK 2
